date,pod,source_file,days_in_month,F1_kWh,F2_kWh,F3_kWh,total_kWh,F1_daily_kWh,F2_daily_kWh,F3_daily_kWh
2020-06-01,IT012E00314418,1_E_0157095_20201229.pdf,30,3465.0,2443.0,2948.0,8856.0,115.5,81.43333333333334,98.26666666666667
2020-07-01,IT012E00314418,1_E_0157095_20201229.pdf,31,10356.0,5282.0,7227.0,22865.0,334.06451612903226,170.38709677419354,233.1290322580645
2020-08-01,IT012E00314418,1_E_0157095_20201229.pdf,31,7179.0,4936.0,8326.0,20441.0,231.58064516129033,159.2258064516129,268.5806451612903
2020-09-01,IT012E00314418,1_E_0157095_20201229.pdf,30,6726.0,3312.0,4506.0,14544.0,224.2,110.4,150.2
2020-10-01,IT012E00314418,1_E_0171072_20210929.pdf,31,7748.0,4778.0,6775.0,19301.0,249.93548387096774,154.1290322580645,218.5483870967742
2020-11-01,IT012E00314418,1_E_0193359_20211103.pdf,30,10123.0,6441.0,11425.0,27989.0,337.43333333333334,214.7,380.8333333333333
2020-12-01,IT012E00314418,1_E_0214867_20211130.pdf,31,14701.0,8909.0,19527.0,43137.0,474.2258064516129,287.38709677419354,629.9032258064516
2021-01-01,IT012E00314418,1_E_0235295_20211229.pdf,31,15495.0,11158.0,22801.0,49454.0,499.83870967741933,359.93548387096774,735.516129032258
2021-02-01,IT012E00314418,1_E_0235295_20211229.pdf,28,11725.0,7616.0,11922.0,31263.0,418.75,272.0,425.7857142857143
2021-03-01,IT012E00314418,1_E_0235295_20211229.pdf,31,10507.0,6143.0,10397.0,27047.0,338.93548387096774,198.16129032258064,335.38709677419354
2021-04-01,IT012E00314418,1_E_0235295_20211229.pdf,30,8706.0,4537.0,7401.0,20644.0,290.2,151.23333333333332,246.7
2021-05-01,IT012E00314418,1_E_0235295_20211229.pdf,31,7968.0,3976.0,5472.0,17416.0,257.03225806451616,128.25806451612902,176.51612903225808
2021-06-01,IT012E00314418,1_E_0235295_20211229.pdf,30,11261.0,5759.0,6644.0,23664.0,375.3666666666667,191.96666666666667,221.46666666666667
2021-07-01,IT012E00314418,1_E_0235295_20211229.pdf,31,12891.0,6327.0,5919.0,25137.0,415.83870967741933,204.09677419354838,190.93548387096774
2021-08-01,IT012E00314418,1_E_0235295_20211229.pdf,31,10512.0,5405.0,5906.0,21823.0,339.0967741935484,174.3548387096774,190.51612903225808
2021-09-01,IT012E00314418,1_E_0235295_20211229.pdf,30,10644.0,5.0,16.0,10665.0,354.8,0.16666666666666666,0.5333333333333333
2021-10-01,IT012E00314418,1_E_0235295_20211229.pdf,31,9133.0,4496.0,4686.0,18315.0,294.61290322580646,145.03225806451613,151.16129032258064
2021-11-01,IT012E00314418,1_E_0235295_20211229.pdf,30,12869.0,6364.0,7478.0,26711.0,428.96666666666664,212.13333333333333,249.26666666666668
2021-12-01,IT012E00314418,1_E_0235295_20211229.pdf,31,3.0,42.0,2.0,47.0,0.0967741935483871,1.3548387096774193,0.06451612903225806
2022-01-01,IT012E00314418,1_E_0234648_20221229.pdf,31,18808.0,10986.0,14429.0,44223.0,606.7096774193549,354.38709677419354,465.4516129032258
2022-02-01,IT012E00314418,1_E_0234648_20221229.pdf,28,12446.0,7242.0,8049.0,27737.0,444.5,258.64285714285717,287.4642857142857
2022-03-01,IT012E00314418,1_E_0234648_20221229.pdf,31,12271.0,6865.0,6938.0,26074.0,395.83870967741933,221.4516129032258,223.80645161290323
2022-04-01,IT012E00314418,1_E_0234648_20221229.pdf,30,7991.0,4439.0,5591.0,18021.0,266.3666666666667,147.96666666666667,186.36666666666667
2022-05-01,IT012E00314418,1_E_0234648_20221229.pdf,31,11638.0,3999.0,4046.0,19683.0,375.4193548387097,129.0,130.51612903225808
2022-06-01,IT012E00314418,1_E_0234648_20221229.pdf,30,16367.0,4955.0,4685.0,26007.0,545.5666666666667,165.16666666666666,156.16666666666666
2022-07-01,IT012E00314418,1_E_0234648_20221229.pdf,31,18340.0,7640.0,5368.0,31348.0,591.6129032258065,246.4516129032258,173.16129032258064
2022-08-01,IT012E00314418,1_E_0234648_20221229.pdf,31,13495.0,5151.0,4627.0,23273.0,435.3225806451613,166.16129032258064,149.25806451612902
2022-09-01,IT012E00314418,1_E_0240690_20230827.pdf,30,11913.0,4727.0,4005.0,20645.0,397.1,157.56666666666666,133.5
2022-10-01,IT012E00314418,1_E_0275549_20230927.pdf,31,9837.0,4082.0,4045.0,17964.0,317.3225806451613,131.67741935483872,130.48387096774192
2022-11-01,IT012E00314418,1_E_0304301_20231030.pdf,30,11765.0,4490.0,4667.0,20922.0,392.1666666666667,149.66666666666666,155.56666666666666
2022-12-01,IT012E00314418,1_E_0338956_20231128.pdf,31,17374.0,7625.0,10211.0,35210.0,560.4516129032259,245.96774193548387,329.38709677419354
2023-01-01,IT012E00314418,1_E_0367614_20231224.pdf,31,18402.0,7201.0,7542.0,33145.0,593.6129032258065,232.29032258064515,243.29032258064515
2023-02-01,IT012E00314418,1_E_0367614_20231224.pdf,28,15326.0,6137.0,5148.0,26611.0,547.3571428571429,219.17857142857142,183.85714285714286
2023-03-01,IT012E00314418,1_E_0367614_20231224.pdf,31,11810.0,5248.0,5605.0,22663.0,380.96774193548384,169.29032258064515,180.80645161290323
2023-04-01,IT012E00314418,1_E_0367614_20231224.pdf,30,7759.0,4020.0,5393.0,17172.0,258.6333333333333,134.0,179.76666666666668
2023-05-01,IT012E00314418,1_E_0367614_20231224.pdf,31,10128.0,3950.0,4413.0,18491.0,326.7096774193548,127.41935483870968,142.3548387096774
2023-06-01,IT012E00314418,1_E_0367614_20231224.pdf,30,13108.0,5332.0,6092.0,24532.0,436.93333333333334,177.73333333333332,203.06666666666666
2023-07-01,IT012E00314418,1_E_0367614_20231224.pdf,31,17388.0,5412.0,4857.0,27657.0,560.9032258064516,174.58064516129033,156.67741935483872
2023-08-01,IT012E00314418,1_E_0367614_20231224.pdf,31,14006.0,4192.0,4562.0,22760.0,451.80645161290323,135.2258064516129,147.16129032258064
2023-09-01,IT012E00314418,1_E_0367614_20231224.pdf,30,12908.0,4670.0,4063.0,21641.0,430.26666666666665,155.66666666666666,135.43333333333334
2023-10-01,IT012E00314418,1_E_0367614_20231224.pdf,31,11125.0,3706.0,3723.0,18554.0,358.8709677419355,119.54838709677419,120.09677419354838
2023-11-01,IT012E00314418,1_E_0367614_20231224.pdf,30,13907.0,6068.0,5909.0,25884.0,463.56666666666666,202.26666666666668,196.96666666666667
2023-12-01,IT012E00314418,1_E_0367614_20231224.pdf,31,8000.0,4400.0,7600.0,20000.0,258.06451612903226,141.93548387096774,245.16129032258064
2024-01-01,IT012E00314418,1_E_0338729_20241107.pdf,31,16150.0,8562.0,7595.0,32307.0,520.9677419354839,276.19354838709677,245.0
2024-02-01,IT012E00314418,1_E_0338729_20241107.pdf,29,11544.0,6086.0,7414.0,25044.0,398.0689655172414,209.86206896551724,255.6551724137931
2024-03-01,IT012E00314418,1_E_0338729_20241107.pdf,31,9779.0,5592.0,6032.0,21403.0,315.4516129032258,180.38709677419354,194.58064516129033
2024-04-01,IT012E00314418,1_E_0338729_20241107.pdf,30,8525.0,4127.0,5978.0,18630.0,284.1666666666667,137.56666666666666,199.26666666666668
2024-05-01,IT012E00314418,1_E_0338729_20241107.pdf,31,9378.0,3922.0,4620.0,17920.0,302.51612903225805,126.51612903225806,149.03225806451613
2024-06-01,IT012E00314418,1_E_0338729_20241107.pdf,30,11057.0,6185.0,6252.0,23494.0,368.56666666666666,206.16666666666666,208.4
2024-07-01,IT012E00314418,1_E_0338729_20241107.pdf,31,18922.0,7258.0,6591.0,32771.0,610.3870967741935,234.1290322580645,212.61290322580646
